State,County,Cases,County,Population,county matches county?,cases per pop
Alabama,Autauga,2580,Autauga,"55,869",TRUE,0.046179456
Alabama,Baldwin,8038,Baldwin,"223,234",TRUE,0.03600706
Alabama,Barbour,1151,Barbour,"24,686",TRUE,0.046625618
Alabama,Bibb,1024,Bibb,"22,394",TRUE,0.045726534
Alabama,Blount,2704,Blount,"57,826",TRUE,0.046760973
Alabama,Bullock,684,Bullock,"10,101",TRUE,0.067716068
Alabama,Butler,1120,Butler,"19,448",TRUE,0.057589469
Alabama,Calhoun,5896,Calhoun,"113,605",TRUE,0.051899124
Alabama,Chambers,1663,Chambers,"33,254",TRUE,0.050009021
Alabama,Cherokee,959,Cherokee,"26,196",TRUE,0.036608643
Alabama,Chilton,2125,Chilton,"44,428",TRUE,0.047830197
Alabama,Choctaw,413,Choctaw,"12,589",TRUE,0.032806418
Alabama,Clarke,1536,Clarke,"23,622",TRUE,0.06502413
Alabama,Clay,876,Clay,"13,235",TRUE,0.066188138
Alabama,Cleburne,705,Cleburne,"14,910",TRUE,0.047283702
Alabama,Coffee,2265,Coffee,"52,342",TRUE,0.043273089
Alabama,Colbert,2880,Colbert,"55,241",TRUE,0.052135189
Alabama,Conecuh,667,Conecuh,"12,067",TRUE,0.055274716
Alabama,Coosa,299,Coosa,"10,663",TRUE,0.028040889
Alabama,Covington,2104,Covington,"37,049",TRUE,0.056789657
Alabama,Crenshaw,698,Crenshaw,"13,772",TRUE,0.050682544
Alabama,Cullman,3998,Cullman,"83,768",TRUE,0.047727056
Alabama,Dale,2230,Dale,"49,172",TRUE,0.045351013
Alabama,Dallas,2168,Dallas,"37,196",TRUE,0.058285837
Alabama,DeKalb,4506,DeKalb,"71,513",TRUE,0.063009523
Alabama,Elmore,3820,Elmore,"81,209",TRUE,0.047039121
Alabama,Escambia,1934,Escambia,"36,633",TRUE,0.052793929
Alabama,Etowah,5741,Etowah,"102,268",TRUE,0.056136817
Alabama,Fayette,800,Fayette,"16,302",TRUE,0.049073733
Alabama,Franklin,2394,Franklin,"31,362",TRUE,0.076334417
Alabama,Geneva,1145,Geneva,"26,271",TRUE,0.04358418
Alabama,Greene,394,Greene,"8,111",TRUE,0.048576008
Alabama,Hale,907,Hale,"14,651",TRUE,0.061907037
Alabama,Henry,833,Henry,"17,205",TRUE,0.048416158
