Memorial Day,Province_State,Country_Region,Confirmed,Deaths,Recovered
,Alabama,US,15309,566,7951
,Alaska,US,408,10,361
,American Samoa,US,0,0,
,Arizona,US,16575,807,4204
,Arkansas,US,6029,117,4249
,California,US,96400,3769,
,Colorado,US,24269,1333,3666
,Connecticut,US,40873,3742,7127
,Delaware,US,8965,332,4693
,Diamond Princess,US,49,0,
,District of Columbia,US,8225,440,1080
,Florida,US,51746,2252,
,Georgia,US,43400,1848,
,Grand Princess,US,103,3,
,Guam,US,166,5,138
,Hawaii,US,643,17,591
,Idaho,US,2626,79,1755
,Illinois,US,112017,4885,
,Indiana,US,31715,1984,
,Iowa,US,17557,456,9377
,Kansas,US,9125,207,493
,Kentucky,US,8571,391,3102
,Louisiana,US,37809,2691,28700
,Maine,US,2074,78,1290
,Maryland,US,47152,2302,3329
,Massachusetts,US,93271,6416,
,Michigan,US,54881,5241,33168
,Minnesota,US,21315,890,14816
,Mississippi,US,13458,635,9401
,Missouri,US,12476,689,
,Montana,US,479,16,441
,Nebraska,US,12362,147,
,Nevada,US,7956,394,359
,New Hampshire,US,4197,210,2204
,New Jersey,US,155092,11147,25253
,New Mexico,US,7026,320,2464
,New York,US,362764,29229,64280
,North Carolina,US,24057,790,14954
,North Dakota,US,2457,54,1551
,Northern Mariana Islands,US,22,2,13
,Ohio,US,32477,1987,
,Oklahoma,US,6090,313,4714
,Oregon,US,3949,148,1376
,Pennsylvania,US,71925,5146,40911
,Puerto Rico,US,3260,129,
,Rhode Island,US,14065,608,1119
,South Carolina,US,10178,440,6063
,South Dakota,US,4586,50,3415
,Tennessee,US,20535,338,13073
,Texas,US,56420,1534,35292
,Utah,US,8521,98,5218
,Vermont,US,962,54,843
,Virgin Islands,US,69,6,61
,Virginia,US,37727,1208,5145
,Washington,US,20065,1070,
,West Virginia,US,1774,72,1135
,Wisconsin,US,15584,514,9207
,Wyoming,US,843,12,575
,,,,,
Independence Day,Province_State,Country_Region,Confirmed,Deaths,Recovered
,Alabama,US,42255,1006,22082
,Alaska,US,1060,15,539
,American Samoa,US,0,0,
,Arizona,US,91872,1798,10478
,Arkansas,US,22622,281,16164
,California,US,250514,6315,
,Colorado,US,33612,1701,4541
,Connecticut,US,46717,4335,8210
,Delaware,US,11923,512,6692
,Diamond Princess,US,49,0,
,District of Columbia,US,10435,555,1497
,Florida,US,178594,3684,
,Georgia,US,90493,2857,
,Grand Princess,US,103,3,
,Guam,US,280,5,179
,Hawaii,US,975,19,746
,Idaho,US,6994,93,2801
,Illinois,US,145750,7005,
,Indiana,US,46915,2681,35756
,Iowa,US,30463,721,24338
,Kansas,US,15659,282,842
,Kentucky,US,16376,585,4747
,Louisiana,US,63289,3278,43026
,Maine,US,3373,105,2731
,Maryland,US,68961,3223,5023
,Massachusetts,US,109628,8149,
,Michigan,US,72175,6215,51099
,Minnesota,US,37624,1503,32347
,Mississippi,US,29684,1103,19388
,Missouri,US,23160,1047,
,Montana,US,1128,23,678
,Nebraska,US,19660,284,14022
,Nevada,US,20718,528,727
,New Hampshire,US,5857,376,4508
,New Jersey,US,172742,15164,30464
,New Mexico,US,12776,511,5627
,New York,US,395872,32137,70794
,North Carolina,US,70262,1419,45538
,North Dakota,US,3722,80,3266
,Northern Mariana Islands,US,31,2,19
,Ohio,US,55257,2903,39423
,Oklahoma,US,15069,398,11519
,Oregon,US,9636,209,2759
,Pennsylvania,US,93392,6746,69217
,Puerto Rico,US,7683,154,
,Rhode Island,US,16991,960,1657
,South Carolina,US,41532,793,16994
,South Dakota,US,6978,97,6049
,Tennessee,US,48712,633,29591
,Texas,US,185847,2597,93572
,Utah,US,23866,181,13408
,Vermont,US,1236,56,967
,Virgin Islands,US,98,6,75
,Virginia,US,64393,1845,8711
,Washington,US,34778,1352,
,West Virginia,US,3126,93,2396
,Wisconsin,US,30317,796,24043
,Wyoming,US,1582,20,1154
,,,,,
,,,,,
Labor Day,Province_State,Country_Region,Confirmed,Deaths,Recovered
,Alabama,US,132221,2276,51154
,Alaska,US,5793,42,2323
,American Samoa,US,0,0,
,Arizona,US,205964,5219,31866
,Arkansas,US,65727,908,58757
,California,US,740965,13758,
,Colorado,US,59484,1973,6057
,Connecticut,US,53365,4468,9049
,Delaware,US,18249,609,9847
,Diamond Princess,US,49,0,
,District of Columbia,US,14315,611,11366
,Florida,US,648269,11871,
,Georgia,US,283807,6044,
,Grand Princess,US,103,3,
,Guam,US,1619,14,744
,Hawaii,US,9959,86,2991
,Idaho,US,33738,385,16554
,Illinois,US,252884,8398,
,Indiana,US,100394,3368,77015
,Iowa,US,70537,1170,49884
,Kansas,US,46337,483,1796
,Kentucky,US,53064,996,10648
