Holidays,Province_State,Country_Region,Confirmed,Deaths,Recovered
Memorial Day,Alabama,US,15309,566,7951
Memorial Day,Alaska,US,408,10,361
Memorial Day,American Samoa,US,0,0,
Memorial Day,Arizona,US,16575,807,4204
Memorial Day,Arkansas,US,6029,117,4249
Memorial Day,California,US,96400,3769,
Memorial Day,Colorado,US,24269,1333,3666
Memorial Day,Connecticut,US,40873,3742,7127
Memorial Day,Delaware,US,8965,332,4693
Memorial Day,Diamond Princess,US,49,0,
Memorial Day,District of Columbia,US,8225,440,1080
Memorial Day,Florida,US,51746,2252,
Memorial Day,Georgia,US,43400,1848,
Memorial Day,Grand Princess,US,103,3,
Memorial Day,Guam,US,166,5,138
Memorial Day,Hawaii,US,643,17,591
Memorial Day,Idaho,US,2626,79,1755
Memorial Day,Illinois,US,112017,4885,
Memorial Day,Indiana,US,31715,1984,
Memorial Day,Iowa,US,17557,456,9377
Memorial Day,Kansas,US,9125,207,493
Memorial Day,Kentucky,US,8571,391,3102
Memorial Day,Louisiana,US,37809,2691,28700
Memorial Day,Maine,US,2074,78,1290
Memorial Day,Maryland,US,47152,2302,3329
Memorial Day,Massachusetts,US,93271,6416,
Memorial Day,Michigan,US,54881,5241,33168
Memorial Day,Minnesota,US,21315,890,14816
Memorial Day,Mississippi,US,13458,635,9401
Memorial Day,Missouri,US,12476,689,
Memorial Day,Montana,US,479,16,441
Memorial Day,Nebraska,US,12362,147,
Memorial Day,Nevada,US,7956,394,359
Memorial Day,New Hampshire,US,4197,210,2204
Memorial Day,New Jersey,US,155092,11147,25253
Memorial Day,New Mexico,US,7026,320,2464
Memorial Day,New York,US,362764,29229,64280
Memorial Day,North Carolina,US,24057,790,14954
Memorial Day,North Dakota,US,2457,54,1551
Memorial Day,Northern Mariana Islands,US,22,2,13
Memorial Day,Ohio,US,32477,1987,
Memorial Day,Oklahoma,US,6090,313,4714
Memorial Day,Oregon,US,3949,148,1376
Memorial Day,Pennsylvania,US,71925,5146,40911
Memorial Day,Puerto Rico,US,3260,129,
Memorial Day,Rhode Island,US,14065,608,1119
Memorial Day,South Carolina,US,10178,440,6063
Memorial Day,South Dakota,US,4586,50,3415
Memorial Day,Tennessee,US,20535,338,13073
Memorial Day,Texas,US,56420,1534,35292
Memorial Day,Utah,US,8521,98,5218
Memorial Day,Vermont,US,962,54,843
Memorial Day,Virgin Islands,US,69,6,61
Memorial Day,Virginia,US,37727,1208,5145
Memorial Day,Washington,US,20065,1070,
Memorial Day,West Virginia,US,1774,72,1135
Memorial Day,Wisconsin,US,15584,514,9207
Memorial Day,Wyoming,US,843,12,575
Independence Day,Alabama,US,42255,1006,22082
Independence Day,Alaska,US,1060,15,539
Independence Day,American Samoa,US,0,0,
Independence Day,Arizona,US,91872,1798,10478
Independence Day,Arkansas,US,22622,281,16164
Independence Day,California,US,250514,6315,
Independence Day,Colorado,US,33612,1701,4541
Independence Day,Connecticut,US,46717,4335,8210
Independence Day,Delaware,US,11923,512,6692
Independence Day,Diamond Princess,US,49,0,
Independence Day,District of Columbia,US,10435,555,1497
Independence Day,Florida,US,178594,3684,
Independence Day,Georgia,US,90493,2857,
Independence Day,Grand Princess,US,103,3,
Independence Day,Guam,US,280,5,179
Independence Day,Hawaii,US,975,19,746
Independence Day,Idaho,US,6994,93,2801
Independence Day,Illinois,US,145750,7005,
Independence Day,Indiana,US,46915,2681,35756
Independence Day,Iowa,US,30463,721,24338
Independence Day,Kansas,US,15659,282,842
Independence Day,Kentucky,US,16376,585,4747
Independence Day,Louisiana,US,63289,3278,43026
Independence Day,Maine,US,3373,105,2731
Independence Day,Maryland,US,68961,3223,5023
Independence Day,Massachusetts,US,109628,8149,
Independence Day,Michigan,US,72175,6215,51099
Independence Day,Minnesota,US,37624,1503,32347
Independence Day,Mississippi,US,29684,1103,19388
Independence Day,Missouri,US,23160,1047,
Independence Day,Montana,US,1128,23,678
Independence Day,Nebraska,US,19660,284,14022
Independence Day,Nevada,US,20718,528,727
Independence Day,New Hampshire,US,5857,376,4508
Independence Day,New Jersey,US,172742,15164,30464
Independence Day,New Mexico,US,12776,511,5627
Independence Day,New York,US,395872,32137,70794
Independence Day,North Carolina,US,70262,1419,45538
Independence Day,North Dakota,US,3722,80,3266
Independence Day,Northern Mariana Islands,US,31,2,19
Independence Day,Ohio,US,55257,2903,39423
Independence Day,Oklahoma,US,15069,398,11519
Independence Day,Oregon,US,9636,209,2759
Independence Day,Pennsylvania,US,93392,6746,69217
Independence Day,Puerto Rico,US,7683,154,
Independence Day,Rhode Island,US,16991,960,1657
Independence Day,South Carolina,US,41532,793,16994
Independence Day,South Dakota,US,6978,97,6049
