State,County,Cases,Population,per_gop,per_dem,cases_per_pop
Kansas,Norton,1040,"5,361",0.708994038,0.265254345,0.193993658
South Dakota,Bon Homme,1288,"6,901",0.744751749,0.240253249,0.186639617
Arkansas,Lincoln,2382,"13,024",0.704134367,0.266408269,0.18289312
South Dakota,Buffalo,352,"1,962",0.333333333,0.641165756,0.179408767
Georgia,Chattahoochee,1942,"10,907",0.553459119,0.419496855,0.178050793
Tennessee,Trousdale,1885,"11,284",0.734151842,0.25331997,0.167050691
Tennessee,Lake,1132,"7,016",0.73352999,0.258603736,0.161345496
Utah,Box Elder,8634,"56,046",0.793791063,0.164444615,0.154052029
Colorado,Crowley,928,"6,061",0.729479769,0.246820809,0.153110048
Nebraska,Dakota,2995,"20,026",0.57786282,0.403885782,0.149555578
North Dakota,Eddy,337,"2,287",0.677008751,0.30389817,0.147354613
Iowa,Buena Vista,2865,"19,620",0.685558718,0.299839129,0.146024465
Minnesota,Nobles,2887,"21,629",0.642857143,0.336242536,0.133478201
Kansas,Ford,4421,"33,619",0.679839961,0.29582755,0.131503019
Montana,Big Horn,1738,"13,319",0.467980296,0.514242879,0.130490277
Arkansas,Lee,1148,"8,857",0.451544944,0.499648876,0.129614994
North Dakota,Foster,410,"3,210",0.765446224,0.211098398,0.127725857
North Dakota,Walsh,1310,"10,641",0.694876102,0.279084418,0.12310873
Kansas,Seward,2628,"21,428",0.472059833,0.497408345,0.12264327
Montana,Toole,580,"4,736",0.751766368,0.219971738,0.122466216
South Dakota,Dewey,720,"5,892",0.401831129,0.575279756,0.122199593
Kansas,Finney,4413,"36,467",0.651186441,0.330621469,0.121013519
Wisconsin,Menominee,533,"4,556",0.175283733,0.821563682,0.116988586
South Dakota,Aurora,321,"2,751",0.748754448,0.225622776,0.116684842
South Dakota,Faulk,268,"2,299",0.815566836,0.16751269,0.116572423
North Dakota,Morton,3625,"31,364",0.736854785,0.232789255,0.11557837
Kansas,Sheridan,288,"2,521",0.831772199,0.144248782,0.114240381
Nebraska,Colfax,1222,"10,709",0.707572503,0.274973147,0.114109627
South Dakota,Beadle,2093,"18,453",0.679000141,0.297556842,0.113423292
South Dakota,Jerauld,227,"2,013",0.716699801,0.268389662,0.112767014
Texas,Hale,3742,"33,406",0.74916318,0.237552301,0.112015806
North Dakota,Burleigh,10658,"95,626",0.685385911,0.281898345,0.111455044
Texas,Childress,810,"7,306",0.853474989,0.135015494,0.11086778
North Dakota,Nelson,319,"2,879",0.64205186,0.329763247,0.110802362
North Dakota,Stutsman,2294,"20,704",0.702384546,0.268638696,0.110799845
Arkansas,Chicot,1119,"10,118",0.427559247,0.550207672,0.110594979
South Dakota,Davison,2156,"19,775",0.663946061,0.313224509,0.109026549
South Dakota,Lyman,412,"3,781",0.652473388,0.32874139,0.108965882
Oklahoma,Texas,2177,"19,983",0.815975367,0.161927187,0.108942601
South Dakota,Potter,233,"2,153",0.825362319,0.164492754,0.108221087
North Dakota,Grand Forks,7475,"69,451",0.548698043,0.415849911,0.10762984
Montana,Roosevelt,1170,"11,004",0.495890411,0.473723537,0.106324973
Tennessee,Wayne,1764,"16,673",0.86920654,0.12299385,0.105799796
South Dakota,Oglala Lakota,1498,"14,177",0.0928125,0.8840625,0.105664104
Iowa,Jones,2164,"20,681",0.7178077,0.267210317,0.104637107
North Dakota,Dickey,509,"4,872",0.719269103,0.25,0.104474548
Kentucky,Lee,771,"7,403",0.896967179,0.092646448,0.104146967
Kansas,Gove,272,"2,636",0.807987711,0.170506912,0.103186646
North Dakota,Stark,3234,"31,489",0.805046941,0.165789999,0.102702531
North Dakota,Benson,699,"6,832",0.558401639,0.418545082,0.102312646
Iowa,Plymouth,2544,"25,177",0.739335253,0.243915205,0.101044604
North Dakota,Ward,6802,"67,641",0.707446997,0.257963706,0.100560311
Iowa,Calhoun,970,"9,668",0.684579232,0.305400372,0.100330989
North Dakota,Emmons,325,"3,241",0.864905284,0.118145563,0.100277692
Iowa,Crawford,1660,"16,820",0.499650556,0.479741233,0.098692033
Iowa,Sioux,3433,"34,855",0.398673719,0.571859951,0.09849376
Texas,Potter,11521,"117,415",0.683833704,0.296823296,0.098122046
South Dakota,McCook,546,"5,586",0.811933535,0.167673716,0.097744361
South Dakota,Sanborn,228,"2,344",0.76371308,0.216877637,0.097269625
South Dakota,Brule,512,"5,297",0.702811245,0.270281124,0.096658486
Arkansas,Sevier,1630,"17,007",0.662368163,0.306823519,0.095842888
North Dakota,Mercer,778,"8,187",0.824764353,0.150599829,0.095028704
Nebraska,Saline,1347,"14,224",0.648050975,0.325524738,0.0946991
South Dakota,Gregory,396,"4,185",0.784417884,0.201416556,0.094623656
South Dakota,Minnehaha,18247,"193,134",0.533425037,0.438468037,0.094478445
Texas,El Paso,79162,"839,238",0.662073721,0.321541266,0.094326043
Iowa,Woodbury,9706,"103,107",0.620204313,0.361634506,0.094135219
North Dakota,Sioux,398,"4,230",0.216877637,0.678481013,0.094089835
Montana,Rosebud,837,"8,937",0.657059757,0.317028027,0.093655589
North Dakota,McLean,885,"9,450",0.759242397,0.221453287,0.093650794
Georgia,Stewart,619,"6,621",0.402512563,0.593969849,0.093490409
Idaho,Madison,3697,"39,907",0.783810834,0.19391968,0.092640389
